GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
335836508,20150208,201502,2015,2015.1041,SAU,RIYADH,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,1,40,40,4,1,1.0,8,1,8,1.57728706624606,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150208,http://www.bignewsnetwork.com/index.php/sid/230095715
335836509,20150208,201502,2015,2015.1041,SAU,RIYADH,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,1,40,40,4,1,1.0,49,5,49,1.56938617752764,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,1,Yemen,YM,YM,15.0,48.0,YM,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150208,http://www.globalsecurity.org/military/library/news/2015/02/mil-150208-voa02.htm
335836510,20150208,201502,2015,2015.1041,SAU,SAUDI,SAU,,,,,,,,YEM,YEMENI,YEM,,,,,,,,1,46,46,4,1,7.0,1,1,1,1.23152709359606,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,1,Yemen,YM,YM,15.0,48.0,YM,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150208,http://www.globalsecurity.org/military/library/news/2015/02/mil-150208-voa02.htm
335836511,20150208,201502,2015,2015.1041,SAU,SAUDI,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,1,46,46,4,1,7.0,1,1,1,2.29885057471264,1,Yemen,YM,YM,15.0,48.0,YM,1,Yemen,YM,YM,15.0,48.0,YM,1,Yemen,YM,YM,15.0,48.0,YM,20150208,http://humanitariannews.org/20150208/un-chief-insists-yemeni-president-be-reinstated
335836512,20150208,201502,2015,2015.1041,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,0,80,80,8,2,5.0,4,1,4,2.57510729613734,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,4,"Dubai, Dubayy, United Arab Emirates",AE,AE03,25.2522,55.28,-782831,4,"Riyadh, Ar Riya?, Saudi Arabia",SA,SA10,24.6408,46.7728,-3093009,20150208,http://dailystar.com.lb/Business/Regional/2015/Feb-09/286836-saudi-king-faces-challenging-fiscal-climate.ashx
335836513,20150208,201502,2015,2015.1041,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,1,831,83,8,2,5.0,2,1,2,2.59433962264151,1,Saudi Arabia,SA,SA,25.0,45.0,SA,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,20150208,http://www.updatednews.ca/2015/02/08/pressure-mounts-on-houthis-in-yemen/
335836514,20150208,201502,2015,2015.1041,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,SANAA,YEM,,,,,,,,1,111,111,11,3,-2.0,21,5,21,2.65017898817116,4,"Arabian Peninsula, Saudi Arabia (general), Saudi Arabia",SA,SA00,25.0,45.0,-3092884,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Arabian Peninsula, Saudi Arabia (general), Saudi Arabia",SA,SA00,25.0,45.0,-3092884,20150208,http://dailystar.com.lb/News/Middle-East/2015/Feb-09/286875-yemen-talks-to-resume-as-militia-takeover-denounced.ashx
335836515,20150208,201502,2015,2015.1041,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,SANAA,YEM,,,,,,,,1,111,111,11,3,-2.0,26,5,26,2.6045617060987,4,"Arabian Peninsula, Saudi Arabia (general), Saudi Arabia",SA,SA00,25.0,45.0,-3092884,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,4,"Sanaa, Sana', Yemen",YM,YM16,15.3547,44.2067,-3191442,20150208,http://www.globalpost.com/dispatch/news/afp/150208/yemen-talks-resume-militias-coup-denounced
335836516,20150208,201502,2015,2015.1041,SAU,SAUDI ARABIA,SAU,,,,,,,,YEM,SANAA,YEM,,,,,,,,0,111,111,11,3,-2.0,1,1,1,2.80373831775701,4,"Hadramawt, ?a?ramawt, Yemen",YM,YM04,15.0,50.0,-3187119,1,Saudi Arabia,SA,SA,25.0,45.0,SA,4,"Hadramawt, ?a?ramawt, Yemen",YM,YM04,15.0,50.0,-3187119,20150208,http://www.dawn.com/news/1162467/yemen-talks-to-resume-says-un
335836517,20150208,201502,2015,2015.1041,SAU,JEDDAH,SAU,,,,,,,,YEM,YEMEN,YEM,,,,,,,,1,111,111,11,3,-2.0,10,1,10,0.892857142857143,4,"Iyad, Shabwah, Yemen",YM,YM05,14.9833,46.85,-3188161,4,"Iyad, Shabwah, Yemen",YM,YM05,14.9833,46.85,-3188161,4,"Iyad, Shabwah, Yemen",YM,YM05,14.9833,46.85,-3188161,20150208,http://www.spa.gov.sa/viewphotonews.php?id=1325941&pic=
