z_tone,z_gold,z_mat,z_hard,z_force,z_vol,vol_ratio,log_vol,slope21_tone,events_week,пара,день_X,метка,название,файл,дней
1.0040809225313605,0.9825297233811284,2.527885506943362,0.3773491633818033,0.26114278000641955,1.1000216551883764,2.0757844878626406,5.523173735865921,0.1565691206119799,1753.0,IND-PAK,2025-05-07,1,"Индия — Пакистан, операция «Синдур»",IND-PAK_2025-05-07.csv,60
1.5316249232410593,2.7487401930805486,1.547636864645306,1.992526025288409,1.7632624476633485,1.346792811742606,1.3693495038588752,4.485420932878165,0.12114101996828058,621.0,IRN-ISR,2023-04-02,0,контроль к «Консульство в Дамаске и ответ Ирана» (−1 г.),IRN-ISR_2023-04-02_control.csv,60
-1.6810167351384635,-3.4447410677844945,-2.8203075436148355,-1.8076461897685816,-1.2825560349064984,1.5898895280689607,1.2034261241970023,4.385591700838378,-0.049613485727237804,562.0,IRN-ISR,2023-06-14,0,контроль к «Двенадцатидневная война» (−2 г.),IRN-ISR_2023-06-14_control.csv,60
-0.9731597052211568,-0.9415665701307688,-0.3586676005542684,-2.2391334637661613,-1.9198528169132216,-0.12792104009883745,0.934010152284264,3.9621727891136174,-0.1198063435347156,368.0,IRN-ISR,2023-10-02,0,контроль к ««Истинное обещание — 2»» (−1 г.),IRN-ISR_2023-10-02_control.csv,60
-0.08351673564043748,-0.3763480672430425,0.015616543249374273,0.2418334369300677,0.671994463316121,3.684983529896246,1.6462882096069869,4.679482218952643,-0.005697533458385719,754.0,IRN-ISR,2024-04-01,1,Консульство в Дамаске и ответ Ирана,IRN-ISR_2024-04-01.csv,60
0.4568066285518338,-1.1423226966457052,-1.0118563024372453,-0.8797859049163971,-0.5126425463194453,2.2138040760698527,2.7834567455300707,6.310697195570844,0.043179500620578085,3853.0,IRN-ISR,2024-10-01,1,«Истинное обещание — 2»,IRN-ISR_2024-10-01.csv,60
1.6844571751334938,2.4399250493859204,2.3830239123396395,1.8271600098081822,1.2058545106468819,-1.8294293975541458,0.6157744694330061,4.24029847484518,0.08578209337335883,486.0,IRN-ISR,2025-02-28,0,контроль к «Ирано-израильская война 2026» (−1 г.),IRN-ISR_2025-02-28_control.csv,60
-0.19044290684645224,1.2381093420834326,1.0664016571748582,1.136750584621393,1.9083755843803305,4.133550252777875,1.8134863701578194,5.419269976965699,0.011052620688420094,1580.0,IRN-ISR,2025-06-13,1,Двенадцатидневная война,IRN-ISR_2025-06-13.csv,60
-0.04247742999654589,1.2505083173782416,0.9155522705243679,0.7172233192746207,0.7080857600651665,-0.08098997274400299,0.9161091096242924,5.5384584942308175,0.05143195032178109,1780.0,IRN-ISR,2026-02-28,1,Ирано-израильская война 2026,IRN-ISR_2026-02-28.csv,60
-1.972650220448677,-1.6660701861866059,-1.7205917202606869,-0.7824915817249024,-0.6603381797442179,0.5439472469584471,1.1623931623931623,2.2735975561207935,-0.44439517232047365,68.0,IRN-PAK,2023-01-16,0,"контроль к «Иран — Пакистан, взаимные удары» (−1 г.)",IRN-PAK_2023-01-16_control.csv,60
0.43352143780163266,1.41111629582633,1.6155712600652723,6.342623491105267,10.716608612427574,1.4484411613712018,1.5663430420711972,2.849880396541428,0.22356582323782123,121.0,IRN-PAK,2024-01-16,1,"Иран — Пакистан, взаимные удары",IRN-PAK_2024-01-16.csv,60
-0.6032752022155639,-1.7050264086192215,-3.2975457342358747,-0.7668130328727697,-0.31853053292777234,-2.239850929749507,0.5278611945278612,4.727387818712341,-0.054514615738709776,791.0,IRN-USA,2019-01-03,0,контроль к «Сулеймани и удар по Айн-эль-Асад» (−1 г.),IRN-USA_2019-01-03_control.csv,60
3.507707798030195,3.2683944371671645,0.265418246102377,17.905783864460528,6.413740015734304,1.4902349316733543,1.86296855691336,6.1832648478564805,0.08864153159169953,3392.0,IRN-USA,2020-01-03,1,Сулеймани и удар по Айн-эль-Асад,IRN-USA_2020-01-03.csv,60
0.020307541803350215,0.09787249327946426,-0.06581771855912018,-1.5255218112201103,-1.7279663932515412,-1.7084750593276234,0.41723922548407244,3.865230843921387,-0.011171725860335371,334.0,IRN-USA,2024-06-13,0,контроль к «Двенадцатидневная война» (−1 г.),IRN-USA_2024-06-13_control.csv,60
