пара,день_X,метка,название,признак,порог,лид_тайм_дней,цензурировано,потолок_дней
CHN-IND,2022-12-09,1,Янцзы (Таванг),z_tone,1.0,11.0,False,24
CHN-IND,2022-12-09,1,Янцзы (Таванг),z_tone,2.0,5.0,False,24
CHN-IND,2022-12-09,1,Янцзы (Таванг),z_vol,1.0,7.0,False,24
CHN-IND,2022-12-09,1,Янцзы (Таванг),z_vol,2.0,3.0,False,24
CHN-IND,2022-12-09,1,Янцзы (Таванг),vol_ratio,1.5,7.0,False,24
CHN-IND,2022-12-09,1,Янцзы (Таванг),vol_ratio,2.5,,False,24
CHN-VNM,2014-05-01,1,Платформа HYSY-981,z_tone,1.0,9.0,False,26
CHN-VNM,2014-05-01,1,Платформа HYSY-981,z_tone,2.0,,False,26
CHN-VNM,2014-05-01,1,Платформа HYSY-981,z_vol,1.0,13.0,False,26
CHN-VNM,2014-05-01,1,Платформа HYSY-981,z_vol,2.0,12.0,False,26
CHN-VNM,2014-05-01,1,Платформа HYSY-981,vol_ratio,1.5,12.0,False,26
CHN-VNM,2014-05-01,1,Платформа HYSY-981,vol_ratio,2.5,,False,26
COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),z_tone,1.0,26.0,True,26
COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),z_tone,2.0,26.0,True,26
COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),z_vol,1.0,8.0,False,26
COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),z_vol,2.0,,False,26
COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),vol_ratio,1.5,8.0,False,26
COD-RWA,2024-01-24,0,контроль к «Наступление на Гому» (−1 г.),vol_ratio,2.5,7.0,False,26
COD-RWA,2025-01-23,1,Наступление на Гому,z_tone,1.0,21.0,False,25
COD-RWA,2025-01-23,1,Наступление на Гому,z_tone,2.0,18.0,False,25
COD-RWA,2025-01-23,1,Наступление на Гому,z_vol,1.0,,False,25
